,招商双债增强债券(LOF)C,广发纳斯达克100ETF联接人民币(QDII)A,大成纳斯达克100ETF联接(QDII),招商量化精选股票A,招商优势企业混合A,招商鑫诚短债A,招商招华纯债A,招商中证500等权重指数增强A,招商北证50成份指数发起式A,深证成指,广发量化多因子混合,沪深300,招商成长量化选股股票C,招商纳斯达克100ETF发起式联接（QDII）C,招商国证生物医药指数A,招商安瑞进取债券A,招商安本增利债券A,招商民安增益债券A,招商享利增强债券A,招商信用增强债券A,招商中证有色金属矿业主题ETF,广发上海金ETF联接A,广发中证稀有金属ETF发起式联接A,招商中证红利低波动100指数发起式A,招商恒生港股通高股息低波动ETF,招商中证银行指数A,招商中证畜牧养殖ETF联接A,招商中证机器人指数型发起式A,招商中证半导体产业ETF发起式联接A,招商科技创新混合A,招商恒生港股通高股息低波动ETF发起式联接A
招商双债增强债券(LOF)C,1.0000,-0.0263,-0.0280,-0.2432,-0.2587,0.5667,0.2636,-0.3102,-0.2380,-0.3227,-0.2346,-0.2990,-0.2359,-0.0329,-0.2999,-0.2599,-0.1936,-0.2131,-0.1699,-0.0691,-0.2238,-0.0043,-0.2663,-0.1701,-0.1913,-0.0572,-0.1793,-0.2287,-0.2675,-0.2793,-0.0510
广发纳斯达克100ETF联接人民币(QDII)A,-0.0263,1.0000,0.9990,0.1687,0.1953,0.0128,-0.0350,0.1725,0.1344,0.1677,0.1641,0.1554,0.1778,0.9295,0.1472,0.1822,0.1757,0.1751,0.1493,0.2070,0.0938,-0.0150,0.1302,0.1047,0.1775,0.0458,0.0661,0.1732,0.1799,0.1875,0.0548
大成纳斯达克100ETF联接(QDII),-0.0280,0.9990,1.0000,0.1750,0.2012,0.0114,-0.0369,0.1779,0.1376,0.1728,0.1698,0.1601,0.1871,0.9309,0.1499,0.1879,0.1811,0.1809,0.1534,0.2130,0.0996,-0.0108,0.1348,0.1100,0.1935,0.0507,0.0679,0.1801,0.1812,0.1930,0.0565
招商量化精选股票A,-0.2432,0.1687,0.1750,1.0000,0.7283,-0.0648,-0.0754,0.9219,0.6282,0.8675,0.9563,0.7674,0.7568,0.1645,0.7106,0.8753,0.8580,0.8799,0.8205,0.7836,0.7165,0.0625,0.7811,0.5638,0.3072,0.2666,0.6324,0.7941,0.5856,0.6959,0.0297
招商优势企业混合A,-0.2587,0.1953,0.2012,0.7283,1.0000,-0.0414,-0.0304,0.7692,0.5682,0.8067,0.7148,0.7167,0.6090,0.1924,0.6987,0.7611,0.7557,0.7704,0.7123,0.6802,0.5660,0.0774,0.6307,0.3913,0.3351,0.1453,0.4521,0.7425,0.6591,0.7820,-0.0084
招商鑫诚短债A,0.5667,0.0128,0.0114,-0.0648,-0.0414,1.0000,0.1226,-0.1143,-0.0603,-0.0855,-0.0630,-0.0665,-0.0846,-0.0212,-0.0771,-0.0774,-0.0207,-0.0202,-0.0509,0.0679,-0.0286,0.0201,-0.0667,-0.0223,-0.1175,-0.0014,-0.0270,-0.0753,-0.0915,-0.1010,-0.0052
招商招华纯债A,0.2636,-0.0350,-0.0369,-0.0754,-0.0304,0.1226,1.0000,-0.0978,-0.0512,-0.1004,-0.0733,-0.1095,-0.0918,-0.0291,-0.0772,-0.0711,-0.0426,-0.0544,-0.0294,-0.0207,-0.0654,-0.0203,-0.0757,-0.1027,-0.0480,-0.0913,-0.0453,-0.0724,-0.0462,-0.0687,-0.0086
招商中证500等权重指数增强A,-0.3102,0.1725,0.1779,0.9219,0.7692,-0.1143,-0.0978,1.0000,0.6609,0.9524,0.8530,0.8743,0.7687,0.1693,0.8241,0.8934,0.8850,0.9016,0.8716,0.7771,0.7464,0.0508,0.8227,0.6216,0.3112,0.3177,0.6900,0.7915,0.6749,0.7388,0.0393
招商北证50成份指数发起式A,-0.2380,0.1344,0.1376,0.6282,0.5682,-0.0603,-0.0512,0.6609,1.0000,0.6898,0.6342,0.6214,0.6153,0.1446,0.6008,0.6708,0.6800,0.6797,0.6148,0.5649,0.4610,0.0420,0.5697,0.4619,0.2551,0.2151,0.4598,0.6832,0.5600,0.5661,-0.0083
深证成指,-0.3227,0.1677,0.1728,0.8675,0.8067,-0.0855,-0.1004,0.9524,0.6898,1.0000,0.8091,0.9429,0.7827,0.1619,0.8489,0.9000,0.8903,0.8971,0.8776,0.7654,0.7208,0.0359,0.7989,0.6149,0.3013,0.3366,0.6574,0.8097,0.7174,0.7855,0.0344
