2025-08-16 12:01:45 | BUY | 招商量化精选股票A | 001917 | 736.67 | 2.7149 | 1999.985383
2025-08-16 12:02:19 | BUY | 招商量化精选股票A | 001917 | 736.67 | 2.7149 | 1999.985383
2025-08-16 12:04:05 | BUY | 招商量化精选股票A | 001917 | 8990.35 | 2.892 | 26000.0922
2025-08-16 12:10:42 | BUY | 招商量化精选股票A | 001917 | 100.0 | 2.5 | 250.0
2025-08-16 12:30:26 | BUY | 招商中证红利低波动100指数发起式A | 020672 | 1770.56 | 1.1296 | 2000.0245759999998
2025-08-16 12:41:13 | BUY | 招商恒生港股通高股息低波动ETF发起式联接A | 024029 | 2941.31 | 1.02 | 3000.1362
2025-08-16 12:41:53 | BUY | 招商中证银行指数A | 161723 | 1138.14 | 1.7573 | 2000.0534220000002
2025-08-16 12:42:31 | BUY | 招商优势企业混合A | 217021 | 248.9 | 6.0265 | 1499.9958500000002
2025-08-16 12:43:06 | BUY | 招商招华纯债A | 003448 | 16853.89 | 1.0522 | 17733.663058
2025-08-16 12:43:33 | BUY | 招商安瑞进取债券A | 217018 | 1386.7 | 2.1634 | 2999.98678
2025-08-16 12:44:10 | BUY | 招商民安增益债券A | 008475 | 1555.57 | 1.2857 | 1999.996349
2025-08-16 12:44:38 | BUY | 招商安本增利债券A | 014775 | 1696.16 | 1.7687 | 2999.998192
2025-08-16 12:45:00 | BUY | 招商信用增强债券A | 217023 | 1764.05 | 1.1338 | 2000.0798899999998
2025-08-16 12:45:28 | BUY | 招商享利增强债券A | 013548 | 1883.41 | 1.0619 | 1999.9930790000003
2025-08-16 12:45:57 | BUY | 招商双债增强债券(LOF)C | 161716 | 3094.78 | 1.6156 | 4999.926568
2025-08-16 12:48:12 | BUY | 广发纳斯达克100ETF联接人民币(QDII)A | 270042 | 422.42 | 6.3917 | 2699.981914
2025-08-16 12:48:42 | BUY | 广发纳斯达克100ETF联接人民币(QDII)A | 270042 | 174.73 | 6.8677 | 1199.993221
2025-08-16 12:49:18 | BUY | 广发量化多因子混合 | 005225 | 1883.37 | 2.1239 | 4000.0895429999996
2025-08-16 12:50:42 | BUY | 广发上海金ETF联接A | 008986 | 1801.41 | 1.6654 | 3000.068214
2025-08-16 12:51:33 | BUY | 大成纳斯达克100ETF联接(QDII) | 000834 | 120.94 | 4.9611 | 599.995434
2025-08-18 09:17:12 | BUY | 广发上海金ETF联接A | 008986 | 601.4 | 1.6628 | 1000.00792
2025-08-18 09:17:52 | BUY | 广发纳斯达克100ETF联接人民币(QDII)A | 270042 | 42.58 | 7.0459 | 300.01442199999997
2025-08-18 10:53:18 | BUY | 招商信用增强债券A | 217023 | 880.82 | 1.1353 | 999.994946
2025-08-18 10:54:08 | BUY | 招商中证银行指数A | 161723 | 580.11 | 1.7238 | 999.993618
2025-08-18 10:54:47 | BUY | 招商享利增强债券A | 013548 | 940.46 | 1.0633 | 999.9911179999999
2025-08-18 10:55:19 | BUY | 招商恒生港股通高股息低波动ETF发起式联接A | 024029 | 985.8 | 1.0144 | 999.9955199999999
2025-08-18 10:57:48 | BUY | 招商民安增益债券A | 008475 | 774.89 | 1.2905 | 999.995545
2025-08-18 10:58:25 | BUY | 招商安本增利债券A | 014775 | 564.46 | 1.7716 | 999.9973360000001
2025-08-18 10:59:20 | BUY | 招商中证红利低波动100指数发起式A | 020672 | 886.28 | 1.1283 | 999.989724
2025-08-18 10:59:45 | BUY | 招商安瑞进取债券A | 217018 | 454.19 | 2.2017 | 999.990123
2025-08-18 11:04:42 | BUY | 招商中证银行指数A | 161723 | 580.11 | 1.7238 | 999.993618
2025-08-18 11:08:20 | BUY | 招商中证红利低波动100指数发起式A | 020672 | 886.28 | 1.1283 | 999.989724
2025-08-19 13:17:18 | BUY | 广发量化多因子混合 | 005225 | 138.26 | 2.1698 | 299.99654799999996
2025-08-19 13:17:49 | BUY | 广发纳斯达克100ETF联接人民币(QDII)A | 270042 | 42.77 | 7.0135 | 299.967395
2025-08-19 13:19:10 | BUY | 广发上海金ETF联接A | 008986 | 600.17 | 1.6662 | 1000.0032539999999
2025-08-19 13:19:59 | BUY | 招商安瑞进取债券A | 217018 | 447.86 | 2.2328 | 999.9818080000001
2025-08-19 13:20:39 | BUY | 招商安本增利债券A | 014775 | 562.74 | 1.777 | 999.98898
2025-08-19 13:21:20 | BUY | 招商享利增强债券A | 013548 | 940.37 | 1.0634 | 999.9894579999999
2025-08-19 13:21:54 | BUY | 招商中证红利低波动100指数发起式A | 020672 | 884.01 | 1.1312 | 999.992112
2025-08-19 13:22:26 | BUY | 招商信用增强债券A | 217023 | 880.43 | 1.1358 | 999.9923939999999
2025-08-19 13:23:05 | BUY | 招商恒生港股通高股息低波动ETF | 520550 | 993.24 | 1.0068 | 999.994032
2025-08-19 13:23:30 | BUY | 招商中证银行指数A | 161723 | 578.34 | 1.7291 | 1000.0076940000001
2025-08-19 13:23:49 | BUY | 招商民安增益债券A | 008475 | 771.78 | 1.2957 | 999.995346
